ID	Name	Desc	Price	Type	Col1	Col2	Col3
354	Masala egg puff	Extra spicy boiled egg filling puff pastry	3.49	16	1	100	0
355	Paneer masala puff	shredded indian cottage cheese filling puff pastry	3.69	16	1	100	0
356	Schewan Chicken puff	schewan chicken flavor filling puff pastry	3.49	16	1	102	0
357	Spicy BBQ Chicken puff	spicy bbq chicken flavor filling puff pastry	3.49	16	1	102	0
358	Vegetable puff	mixed vegetable filling puff pastry	3.49	16	1	100	0
359	White chicken puff	non spicy chicken flavor filling puff pastry	3.49	16	1	100	0
360	Aalo Masala wrap	grilled spicy potato wrapped in house baked tortilla	6.99	17	1	100	0
361	Chana Masala wrap	spicy chickpeas wrapped in house baked tortilla	6.99	17	1	102	0
362	Chicken tikka wrap	spicy grounded chicken wrapped in house baked tortilla	7.49	17	1	100	0
363	Chili chicken wrap	spicy gravy chunk chicken wrapped in house baked tortilla 	7.49	17	1	100	0
364	Chili paneer wrap	spicy indian cottage cheese wrapped in house baked tortilla	7.99	17	1	100	0
365	Grilled chicken wrap	non spicy chicken wrapped in house baked tortilla	7.49	17	1	100	0
366	Paneer Tikka wrap	Indian cottage cheese wrapped in house baked tortilla	7.49	17	1	102	0
367	Vegetable wrap	Mixed vegatable wrapped in house baked tortilla	6.99	17	1	100	0
368	Butter chicken sub	butter chicken sub sandwich	4.99	18	1	102	0
369	Chicken Tikka sub	chicken tikka flavor sub sandwich	4.99	18	1	102	0
370	Chicken quiche	house special chicken flavor quiche	3.49	19	1	100	0
371	Chicken tikka quiche	chicken tikka flavor quiche	3.49	19	1	100	0
372	Chili chicken pie	spicy chicken pie	3.49	19	1	101	0
373	Masala aalo pie	spicy potato pie	3.49	19	1	101	0
374	Roasted chicken pie	non spicy chicken pie	3.49	19	1	101	0
375	Siracha Chicken pie	sriracha spicy chicken pie	3.49	19	1	101	0
